0,0,8,9,2,3
1,0,9,10,2,3
2,0,10,11,2,3
3,0,11,12,2,3
4,0,12,13,2,3
5,0,13,14,2,3
6,0,14,15,2,3
7,0,15,16,2,3
8,0,16,17,2,3
9,1,8,9,2,3
10,1,9,10,2,3
11,1,10,11,2,3
12,1,11,12,2,3
13,1,12,13,2,3
14,1,13,14,2,3
15,1,14,15,2,3
16,1,15,16,2,3
17,1,16,17,2,3
18,2,8,9,2,3
19,2,9,10,2,3
20,2,10,11,2,3
21,2,11,12,2,3
22,2,12,13,2,3
23,2,13,14,2,3
24,2,14,15,2,3
25,2,15,16,2,3
26,2,16,17,2,3
27,3,8,9,2,3
28,3,9,10,2,3
29,3,10,11,2,3
30,3,11,12,2,3
31,3,12,13,2,3
32,3,13,14,2,3
33,3,14,15,2,3
34,3,15,16,2,3
35,3,16,17,2,3
36,4,8,9,2,3
37,4,9,10,2,3
38,4,10,11,2,3
39,4,11,12,2,3
40,4,12,13,2,3
41,4,13,14,2,3
42,4,14,15,2,3
43,4,15,16,2,3
44,4,16,17,2,3
45,5,8,9,2,3
46,5,9,10,2,3
47,5,10,11,2,3
48,5,11,12,2,3
49,5,12,13,2,3
50,5,13,14,2,3
51,5,14,15,2,3
52,5,15,16,2,3
53,5,16,17,2,3
